127.0.0.1 - - [16/Jun/2020:18:21:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:21:50 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:22:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:22:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:22:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:24:37 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:24:37 +0900] "GET /BBS/login.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:36:53 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:45:44 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:45:44 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 141414
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:45:44 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 66732
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:56:31 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:56:31 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:56:31 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2020:19:05:43 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [16/Jun/2020:19:05:43 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2020:19:05:43 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2020:19:05:46 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [16/Jun/2020:19:06:20 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [16/Jun/2020:19:06:20 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2020:19:06:21 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2020:19:16:01 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2218
0:0:0:0:0:0:0:1 - - [16/Jun/2020:19:16:01 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2020:19:16:01 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2020:19:16:18 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 404 807
